1	15 
3528	16 
3529	16 
3530	16 
3531	16 
3532	16 
3533	16 
3534	16 
3535	16 
3536	16 
3537	16 
3538	16 
3539	16 
3540	16 
3541	16 
3542	16 
3543	16 
3544	16 
3545	16 
3546	16 
3547	16 
3548	16 
3549	16 
3550	16 
3551	16 
3552	16 
3553	16 
3554	16 
3555	16 
3556	16 
3557	16 
3558	16 
3559	16 
3560	16 
3561	16 
3562	16 
3563	16 
3564	16 
3565	16 
3566	16 
3567	16 
3568	16 
3569	16 
3570	16 
3571	16 
3572	16 
3573	16 
3574	16 
3575	16 
3576	16 
3577	16 
3578	16 
3579	16 
3580	16 
3581	16 
3582	16 
3583	16 
3584	16 
3585	16 
3586	16 
3587	16 
3588	16 
3589	16 
300	14 
301	14 
302	14 
303	14 
304	14 
305	14 
309	14 
34	15 
36	14 
37	15 
38	14 
39	14 
4175	16 
4571	16 
4	16 
5019	16 
50	12 13 14 15 16 17 18 19 
51	16 
52	16 
53	16 
54	16 
55	16 
56	12 13 14 15 16 17 18 19 
57	12 13 14 15 16 17 18 19 
58	12 13 14 15 16 17 18 19 
59	12 13 14 15 16 17 18 19 
6011	16 19 
636	16 17 18 19 
637	16 
638	16 
639	16 
644	16 19 
645	16 19 
646	16 19 
647	16 19 
648	16 19 
649	16 19 
60	12 13 14 15 16 17 18 19 
61	12 13 14 15 16 17 18 19 
62	12 13 14 15 16 17 18 19 
63	12 13 14 15 16 17 18 19 
64	12 13 14 15 16 17 18 19 
65	12 13 14 15 16 17 18 19 
66	12 13 14 15 16 17 18 19 
67	12 13 14 15 16 17 18 19 
68	12 13 14 15 16 17 18 19 
69	12 13 14 15 16 17 18 19 
